-0.108	2.5509	0	0	-0.108	2.5509	0	2.75	0	1
-0.0703635	3.22573	0.128862	0.842934	-0.0533852	3.25416	-0.022	3.0991	-0.1097	0.994
-0.198266	3.41545	-0.341026	0.532488	-0.2011	3.3953	-0.0938	3.4924	-0.2334	0.9724
-0.260594	3.75885	-0.149891	0.936109	-0.253656	3.77439	-0.2143	3.8735	-0.3535	0.9354
-0.553566	4.13742	-0.841025	0.946788	-0.5822	4.1399	-0.3817	4.2365	-0.4679	0.8838
-0.482584	4.50435	0.161633	1.32051	-0.42614	4.24275	-0.5932	4.5757	-0.575	0.8181
-0.87717	4.85512	-1.10183	0.832863	-0.9253	4.8304	-0.8456	4.8857	-0.673	0.7396
-1.23193	5.29746	-0.866783	1.10275	-1.22741	5.34303	-1.1348	5.1616	-0.7604	0.6494
-1.46447	5.37769	-0.530703	0.0811003	-1.4435	5.3089	-1.4564	5.3991	-0.8358	0.549
-1.76064	5.78369	-0.785758	1.18014	-1.78167	5.87592	-1.8051	5.5945	-0.898	0.4399
-2.04719	6.08272	-0.69593	0.69265	-2.0393	6.0507	-2.1756	5.7445	-0.9461	0.3239
-2.61675	5.95145	-1.63382	0.029626	-2.51899	5.603	-2.562	5.847	-0.9792	0.2028
-3.03961	5.96622	-1.07217	0.00154033	-3.0182	5.9582	-2.9582	5.9002	-0.9969	0.0785
-3.62431	5.86019	-1.41759	-0.40945	-3.69072	5.89721	-3.3579	5.9033	-0.9989	-0.0471
-3.64672	5.84733	-0.0892916	-0.121862	-3.5949	5.8437	-3.7549	5.8563	-0.9851	-0.1719
-4.14186	5.8531	-1.09439	-0.335777	-4.40062	6.0635	-4.1429	5.76	-0.9558	-0.294
-4.83407	5.70085	-1.72633	-0.328385	-4.8613	5.711	-4.5157	5.6157	-0.9114	-0.4115
-5.2856	5.59595	-0.859547	-0.481329	-5.33076	5.69467	-4.8675	5.4259	-0.8526	-0.5225
-5.32096	5.17309	0.012513	-1.14071	-5.2656	5.1258	-5.1927	5.1935	-0.7804	-0.6252
-5.47272	4.90957	-0.406943	-0.624017	-5.53677	4.97986	-5.4863	4.9222	-0.6959	-0.7181
-5.7069	4.50801	-0.555408	-0.989639	-5.7085	4.4934	-5.7435	4.6162	-0.6004	-0.7997
-5.92132	4.10093	-0.497883	-1.04513	-5.9371	4.10984	-5.9603	4.2804	-0.4955	-0.8686
-6.17032	3.7531	-0.650177	-0.862833	-6.1818	3.7633	-6.1333	3.92	-0.3827	-0.9239
